Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,high_pollution
02/02/2005,21.00.00,4.1,1281.0,,15.6,1168.0,655.0,571.0,212.0,1195.0,1756.0,6.7,39.6,0.3906,1
27/03/2004,09.00.00,1.8,1163.0,128.0,8.5,919.0,128.0,922.0,84.0,1530.0,1076.0,11.1,50.5,0.6654,0
27/12/2004,03.00.00,0.6,875.0,,1.5,548.0,,1165.0,,1049.0,525.0,11.5,67.4,0.9106,0
13/05/2004,03.00.00,0.4,815.0,,1.4,538.0,,1412.0,,1272.0,379.0,16.0,53.7,0.9723,0
26/10/2004,14.00.00,4.5,1495.0,,26.4,1465.0,597.0,451.0,158.0,2043.0,1786.0,24.9,48.3,1.4942,1
02/11/2004,18.00.00,7.9,1751.0,,44.1,1853.0,789.0,358.0,158.0,2496.0,2013.0,23.0,62.1,1.7283,1
22/06/2004,12.00.00,3.1,1139.0,,18.0,1240.0,239.0,702.0,144.0,1940.0,1129.0,31.1,26.2,1.1647,1
20/02/2005,15.00.00,1.1,1042.0,,3.3,671.0,145.0,861.0,107.0,1038.0,634.0,8.4,61.0,0.6721,0
21/10/2004,01.00.00,3.3,1289.0,,15.4,1161.0,335.0,552.0,91.0,1765.0,1289.0,21.3,70.3,1.7574,1
10/11/2004,00.00.00,0.8,831.0,,2.5,620.0,,1164.0,,1039.0,545.0,6.5,83.5,0.8116,0
07/12/2004,17.00.00,2.6,1175.0,,13.9,1112.0,350.0,628.0,110.0,1484.0,1212.0,16.5,54.6,1.0164,1
25/11/2004,16.00.00,2.8,1214.0,,14.2,1124.0,465.0,659.0,156.0,1302.0,1345.0,16.8,36.7,0.6944,1
10/03/2005,18.00.00,2.7,1145.0,,12.7,1074.0,393.0,593.0,163.0,1186.0,1232.0,16.5,21.6,0.4012,1
06/07/2004,21.00.00,2.5,1086.0,,14.9,1145.0,154.0,737.0,125.0,1717.0,1426.0,30.4,23.2,0.9889,1
07/03/2005,17.00.00,1.7,973.0,,6.3,827.0,351.0,825.0,176.0,888.0,846.0,9.4,27.3,0.3216,0
25/09/2004,12.00.00,1.4,857.0,,6.0,813.0,51.0,1040.0,14.0,1183.0,622.0,19.3,34.8,0.771,0
10/04/2004,16.00.00,1.5,943.0,132.0,6.8,850.0,92.0,1084.0,91.0,1296.0,544.0,22.1,21.3,0.5605,0
19/05/2004,05.00.00,0.3,848.0,,2.2,598.0,32.0,1219.0,46.0,1318.0,628.0,17.0,49.2,0.9459,0
06/02/2005,01.00.00,1.4,962.0,,4.9,756.0,255.0,902.0,176.0,843.0,908.0,3.7,40.1,0.323,0
07/11/2004,11.00.00,0.7,805.0,,2.7,632.0,115.0,1176.0,63.0,1033.0,475.0,18.0,34.7,0.7089,0
11/03/2004,05.00.00,0.7,1066.0,8.0,1.1,512.0,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366,0
18/02/2005,23.00.00,2.9,1271.0,,11.5,1031.0,484.0,618.0,236.0,1138.0,1464.0,5.4,51.8,0.4698,1
23/07/2004,21.00.00,1.4,1055.0,,8.6,922.0,95.0,784.0,79.0,1634.0,990.0,30.1,33.9,1.4257,0
03/01/2005,02.00.00,3.0,,,,,379.0,,143.0,,,,,,1
25/07/2004,18.00.00,1.2,989.0,,4.0,713.0,72.0,954.0,78.0,1552.0,626.0,27.6,47.5,1.7266,0
01/05/2004,17.00.00,1.8,1045.0,,8.3,910.0,89.0,948.0,95.0,1598.0,624.0,23.7,37.2,1.0746,0
13/03/2004,12.00.00,3.6,1451.0,210.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,1
17/12/2004,23.00.00,1.4,1061.0,,5.7,800.0,200.0,819.0,106.0,1232.0,862.0,12.6,74.3,1.0843,0
28/09/2004,03.00.00,0.4,741.0,,2.1,595.0,,1191.0,,1080.0,686.0,14.4,54.5,0.8887,0
16/11/2004,00.00.00,1.3,844.0,,3.9,705.0,167.0,1035.0,91.0,986.0,701.0,11.3,41.8,0.561,0
